weak_signal,naive_country,possible_countries,required_strong,guidance,min_context,source
喜馬拉雅,,尼泊爾,,命中加德滿都、博卡拉、奇旺、珠峰基地營時判尼泊爾。,,country_row
地中海風,希臘,其他仿景/民宿、台灣、希臘、韓國,聖托里尼/米克諾斯/雅典/愛琴海,仿景或裝潢風格不可判希臘。,,curated
城堡小鎮,,捷克,,命中布拉格、查理大橋、天文鐘、CK小鎮時判捷克。,,country_row
城堡山,,匈牙利,,命中布達佩斯、漁人堡、國會大廈、塞切尼溫泉時判匈牙利。,,country_row
塔橋仿景,,英國,,命中倫敦、大笨鐘、白金漢宮、大英博物館、愛丁堡時判英國。,,country_row
多瑙河,,匈牙利、奧地利,,命中維也納、美泉宮、薩爾斯堡、哈修塔特時判奧地利。 | 命中布達佩斯、漁人堡、國會大廈、塞切尼溫泉時判匈牙利。,,country_row
夜市,,泰國,,命中曼谷、大皇宮、鄭王廟、普吉島、PP島、清邁時判泰國。,泰國,country_row
夜景,,香港,,命中維多利亞港、太平山、香港迪士尼、海洋公園、昂坪360 時判香港。,香港,country_row
大笨鐘仿景,,英國,,命中倫敦、大笨鐘、白金漢宮、大英博物館、愛丁堡時判英國。,,country_row
天空之城,中國/秘魯/其他任一,中國、其他行銷景點、台灣、秘魯,張家界/武陵源；馬丘比丘/秘魯；實際景點名,高度模糊，建議人工覆核。,,curated
天空之門,,印尼,,命中峇里島、烏布、海神廟、婆羅浮屠、科莫多時判印尼。,,country_row
天空樹,,新加坡,,命中魚尾獅、濱海灣金沙、聖淘沙、USS、樟宜機場時判新加坡。,,country_row
好萊塢風,,美國,,命中紐約、自由女神、洛杉磯、拉斯維加斯、大峽谷、金門大橋、黃石時判美國。,,country_row
威尼斯,義大利,其他仿景、澳門、義大利、越南,義大利：聖馬可廣場/嘆息橋/羅馬；越南：富國島/Grand World/Charm of Venice；澳門：威尼斯人/路氹/大三巴,沒有強信號時輸出無法判斷並人工覆核。,,curated
威尼斯人,,美國、義大利,,命中羅馬、佛羅倫斯、比薩斜塔、聖馬可廣場、五漁村時判義大利。 | 命中紐約、自由女神、洛杉磯、拉斯維加斯、大峽谷、金門大橋、黃石時判美國。,,country_row
威尼斯風,,日本,,命中富士山、京都、大阪、北海道、沖繩、USJ 時優先判日本。,,country_row
宗教聖地,,印度,,命中泰姬瑪哈陵、阿格拉、齋浦爾、瓦拉納西、恆河時判印度。,,country_row
寺廟王國,,柬埔寨,,命中吳哥窟、暹粒、巴戎寺、塔普倫寺時判柬埔寨。,,country_row
小京都,,日本,,命中富士山、京都、大阪、北海道、沖繩、USJ 時優先判日本。,,country_row
小印度,,新加坡、馬來西亞,,命中魚尾獅、濱海灣金沙、聖淘沙、USS、樟宜機場時判新加坡。 | 命中雙子星塔、吉隆坡、沙巴、仙本那、雲頂高原時判馬來西亞。,,country_row
小威尼斯,,義大利,,命中羅馬、佛羅倫斯、比薩斜塔、聖馬可廣場、五漁村時判義大利。,,country_row
小巴黎,,法國,,命中巴黎、羅浮宮、凡爾賽宮、香榭麗舍、聖米歇爾山時判法國。,,country_row
小希臘,,台灣,,命中台北101、日月潭、阿里山、九份、太魯閣、墾丁、澎湖時判台灣。,,country_row
小歐洲,歐洲任一國,中國、亞洲園區、日本、歐洲真實城市、飯店度假村,國家/城市/園區名，例如巴拿山、南怡島、布拉格、哈修塔特,僅作輔助描述，不能作為國家依據。,,curated
小法國,,加拿大、韓國,,命中首爾、釜山、濟州、景福宮、樂天世界、愛寶樂園時判韓國。 | 命中班夫、露易絲湖、黃刀鎮、溫哥華、多倫多、魁北克時判加拿大。,,country_row
小瑞士,瑞士,中國、其他園區、台灣、瑞士、韓國,瑞士：少女峰/馬特洪峰/策馬特/琉森；其他：實際地名,視為弱信號；需搭配國家地名。,,curated
小荷蘭,,荷蘭,,命中阿姆斯特丹、庫肯霍夫、羊角村、贊瑟斯漢斯時判荷蘭。,,country_row
尼加拉瀑布,加拿大,加拿大、美國,多倫多/加拿大東岸；紐約州/水牛城,依行程城市判斷，無城市時需覆核。,,curated
尼羅河,,埃及,,命中吉薩金字塔、獅身人面像、開羅、路克索、阿布辛貝時判埃及。,,country_row
峽灣,,挪威、紐西蘭,,命中皇后鎮、米佛峽灣、蒂卡波湖、哈比村、庫克山時判紐西蘭。 | 命中松恩峽灣、蓋朗厄爾峽灣、羅弗敦、卑爾根時判挪威。,挪威|紐西蘭,country_row
巴黎,法國,其他仿景、拉斯維加斯、法國、澳門,法國：巴黎/羅浮宮/凡爾賽；澳門：巴黎人/澳門；美國：拉斯維加斯,若只出現巴黎風/法式，不判國家。,其他仿景|拉斯維加斯|法國|澳門,curated
巴黎人,,法國,,命中巴黎、羅浮宮、凡爾賽宮、香榭麗舍、聖米歇爾山時判法國。,,country_row
巴黎鐵塔,,美國,,命中紐約、自由女神、洛杉磯、拉斯維加斯、大峽谷、金門大橋、黃石時判美國。,,country_row
希臘風,希臘,其他仿景/民宿、台灣、希臘、韓國,聖托里尼/米克諾斯/雅典/愛琴海,仿景或裝潢風格不可判希臘。,,curated
彩色宮殿,,葡萄牙,,命中里斯本、貝倫塔、羅卡角、波多、辛特拉時判葡萄牙。,,country_row
彩色小鎮,,墨西哥,,命中坎昆、奇琴伊察、馬雅、亡靈節、墨西哥城時判墨西哥。,,country_row
微笑高棉,,柬埔寨,,命中吳哥窟、暹粒、巴戎寺、塔普倫寺時判柬埔寨。,,country_row
情人崖,,印尼,,命中峇里島、烏布、海神廟、婆羅浮屠、科莫多時判印尼。,,country_row
愛琴海風,,希臘,,命中雅典衛城、聖托里尼、米克諾斯、藍頂教堂時判希臘。,,country_row
摩天輪,,香港,,命中維多利亞港、太平山、香港迪士尼、海洋公園、昂坪360 時判香港。,,country_row
摩爾風,,西班牙,,命中聖家堂、高第、巴塞隆納、阿爾罕布拉宮時判西班牙。,,country_row
撒哈拉,,摩洛哥,,命中舍夫沙萬、馬拉喀什、菲斯、哈桑二世清真寺時判摩洛哥。,,country_row
普羅旺斯風,,法國,,命中巴黎、羅浮宮、凡爾賽宮、香榭麗舍、聖米歇爾山時判法國。,,country_row
東南亞古城,,柬埔寨,,命中吳哥窟、暹粒、巴戎寺、塔普倫寺時判柬埔寨。,,country_row
東方之珠,,香港,,命中維多利亞港、太平山、香港迪士尼、海洋公園、昂坪360 時判香港。,,country_row
東方威尼斯,,泰國,,命中曼谷、大皇宮、鄭王廟、普吉島、PP島、清邁時判泰國。,,country_row
東方巴黎,,法國,,命中巴黎、羅浮宮、凡爾賽宮、香榭麗舍、聖米歇爾山時判法國。,,country_row
東方瑞士,,中國,,命中長城、故宮、兵馬俑、外灘、張家界、九寨溝時判中國。,,country_row
果凍海,馬爾地夫,印尼、泰國、菲律賓、越南、馬來西亞、馬爾地夫,實際島名：長灘島/巴拉望/PP島/峇里島/仙本那/富國島,不可直接判馬爾地夫。,,curated
棕櫚,,阿聯酋/杜拜,,命中哈里發塔、帆船飯店、棕櫚島、阿布達比大清真寺時判阿聯酋。,阿聯酋/杜拜,country_row
楓葉,,加拿大,,命中班夫、露易絲湖、黃刀鎮、溫哥華、多倫多、魁北克時判加拿大。,加拿大,country_row
極光,加拿大/冰島/芬蘭/挪威任一,冰島、加拿大、挪威、瑞典等、芬蘭,黃刀鎮/冰島/羅瓦涅米/特羅姆瑟/羅弗敦,極光是活動/自然現象，不能單獨判國家。,冰島|加拿大|挪威|瑞典等|芬蘭,curated
權力遊戲,,克羅埃西亞,,命中杜布羅夫尼克、十六湖、普利特維采、史普利特時判克羅埃西亞。,,country_row
歌劇院,,澳洲,,命中雪梨歌劇院、大堡礁、十二門徒石、烏魯魯、塔斯馬尼亞時判澳洲。,,country_row
歐亞交界,,土耳其,,命中卡帕多奇亞、伊斯坦堡、聖索菲亞、棉堡時判土耳其。,,country_row
歐洲九寨溝,,中國、克羅埃西亞,,命中長城、故宮、兵馬俑、外灘、張家界、九寨溝時判中國。 | 命中杜布羅夫尼克、十六湖、普利特維采、史普利特時判克羅埃西亞。,,country_row
歐洲古堡,,德國,,命中新天鵝堡、慕尼黑、柏林、羅曼蒂克大道、科隆大教堂時判德國。,,country_row
歐洲夜景,,匈牙利,,命中布達佩斯、漁人堡、國會大廈、塞切尼溫泉時判匈牙利。,,country_row
歐洲天涯海角,,葡萄牙,,命中里斯本、貝倫塔、羅卡角、波多、辛特拉時判葡萄牙。,,country_row
歐洲小鎮,,捷克,,命中布拉格、查理大橋、天文鐘、CK小鎮時判捷克。,,country_row
歐洲山城,,瑞士,,命中少女峰、馬特洪峰、策馬特、琉森、冰河列車時判瑞士。,,country_row
歐風古城,,加拿大,,命中班夫、露易絲湖、黃刀鎮、溫哥華、多倫多、魁北克時判加拿大。,,country_row
歐風小鎮,歐洲任一國,亞洲園區、歐洲真實城市、越南、韓國、飯店度假村,國家/城市/園區名，例如巴拿山、南怡島、布拉格、哈修塔特,僅作輔助描述，不能作為國家依據。,,curated
歐風水城,,義大利,,命中羅馬、佛羅倫斯、比薩斜塔、聖馬可廣場、五漁村時判義大利。,,country_row
水上市場,,泰國,,命中曼谷、大皇宮、鄭王廟、普吉島、PP島、清邁時判泰國。,,country_row
水都,義大利,其他仿景、澳門、義大利、越南,義大利：聖馬可廣場/嘆息橋/羅馬；越南：富國島/Grand World/Charm of Venice；澳門：威尼斯人/路氹/大三巴,沒有強信號時輸出無法判斷並人工覆核。,其他仿景|澳門|義大利|越南,curated
沙漠,杜拜/埃及/摩洛哥任一,其他沙漠、土耳其、埃及、墨西哥、摩洛哥、約旦、阿聯酋、阿聯酋/杜拜,杜拜/阿布達比；開羅/吉薩；馬拉喀什/梅爾祖卡,需看城市和景點強信號。,其他沙漠|土耳其|埃及|墨西哥|摩洛哥|約旦|阿聯酋|阿聯酋/杜拜,curated
沙漠城,,印度,,命中泰姬瑪哈陵、阿格拉、齋浦爾、瓦拉納西、恆河時判印度。,,country_row
沙漠帳篷,,摩洛哥,,命中舍夫沙萬、馬拉喀什、菲斯、哈桑二世清真寺時判摩洛哥。,,country_row
法國村,,越南,,若同時出現富國島、Grand World、VinWonders、Vinpearl、Charm of Venice、水舞秀，優先判越南。,,country_row
法式,法國,其他仿景、拉斯維加斯、法國、澳門,法國：巴黎/羅浮宮/凡爾賽；澳門：巴黎人/澳門；美國：拉斯維加斯,若只出現巴黎風/法式，不判國家。,其他仿景|拉斯維加斯|法國|澳門,curated
法老王,,埃及,,命中吉薩金字塔、獅身人面像、開羅、路克索、阿布辛貝時判埃及。,,country_row
洛磯,,加拿大,,命中班夫、露易絲湖、黃刀鎮、溫哥華、多倫多、魁北克時判加拿大。,加拿大,country_row
海上屋,,馬來西亞,,命中雙子星塔、吉隆坡、沙巴、仙本那、雲頂高原時判馬來西亞。,,country_row
海岸公路,,澳洲,,命中雪梨歌劇院、大堡礁、十二門徒石、烏魯魯、塔斯馬尼亞時判澳洲。,,country_row
海岸古城,,克羅埃西亞,,命中杜布羅夫尼克、十六湖、普利特維采、史普利特時判克羅埃西亞。,,country_row
海島天堂,,印尼、泰國,,命中曼谷、大皇宮、鄭王廟、普吉島、PP島、清邁時判泰國。 | 命中峇里島、烏布、海神廟、婆羅浮屠、科莫多時判印尼。,,country_row
清真寺,,土耳其、摩洛哥、阿聯酋/杜拜,,命中卡帕多奇亞、伊斯坦堡、聖索菲亞、棉堡時判土耳其。 | 命中哈里發塔、帆船飯店、棕櫚島、阿布達比大清真寺時判阿聯酋。 | 命中舍夫沙萬、馬拉喀什、菲斯、哈桑二世清真寺時判摩洛哥。,,country_row
港式,,香港,,命中維多利亞港、太平山、香港迪士尼、海洋公園、昂坪360 時判香港。,香港,country_row
湖區小鎮,,奧地利,,命中維也納、美泉宮、薩爾斯堡、哈修塔特時判奧地利。,,country_row
溫泉,,匈牙利,,命中布達佩斯、漁人堡、國會大廈、塞切尼溫泉時判匈牙利。,匈牙利,country_row
澳門葡式,,葡萄牙,,命中里斯本、貝倫塔、羅卡角、波多、辛特拉時判葡萄牙。,,country_row
瀑布,,冰島,,命中雷克雅維克、藍湖、黃金圈、黑沙灘、傑古沙龍冰河湖時判冰島。,冰島,country_row
火山,,冰島,,命中雷克雅維克、藍湖、黃金圈、黑沙灘、傑古沙龍冰河湖時判冰島。,冰島,country_row
熱情南歐,,西班牙,,命中聖家堂、高第、巴塞隆納、阿爾罕布拉宮時判西班牙。,,country_row
熱氣球,土耳其,其他活動地、台灣、土耳其、埃及、澳洲,卡帕多奇亞/土耳其地名,沒有卡帕多奇亞時不要直接判土耳其。,,curated
玻璃屋,,芬蘭,,命中羅瓦涅米、聖誕老人村、赫爾辛基、拉普蘭時判芬蘭。,,country_row
玻璃海,馬爾地夫,印尼、泰國、澳洲、菲律賓、越南、馬來西亞、馬爾地夫,實際島名：長灘島/巴拉望/PP島/峇里島/仙本那/富國島,不可直接判馬爾地夫。,,curated
珠峰,,尼泊爾,,命中加德滿都、博卡拉、奇旺、珠峰基地營時判尼泊爾。,尼泊爾,country_row
瑞士,瑞士,瑞士、韓國、台灣、中國、其他園區,瑞士：少女峰/馬特洪峰/策馬特/琉森；其他：實際地名,視為弱信號；需搭配國家地名。,瑞士|韓國|台灣|中國|其他園區,curated
瑞士村,瑞士,中國、其他園區、台灣、瑞士、韓國,瑞士：少女峰/馬特洪峰/策馬特/琉森；其他：實際地名,視為弱信號；需搭配國家地名。,,curated
環球影城,日本/新加坡/美國任一,新加坡、日本、美國,USJ/大阪；USS/聖淘沙；Hollywood/Los Angeles；Orlando,必須搭配城市、縮寫或園區名稱。,,curated
白沙灘,,菲律賓,,命中宿霧、薄荷島、巧克力山、長灘島、巴拉望、愛妮島時判菲律賓。,,country_row
皇宮,,印度,,命中泰姬瑪哈陵、阿格拉、齋浦爾、瓦拉納西、恆河時判印度。,印度,country_row
皇家風,,英國,,命中倫敦、大笨鐘、白金漢宮、大英博物館、愛丁堡時判英國。,,country_row
神秘古國,,印度,,命中泰姬瑪哈陵、阿格拉、齋浦爾、瓦拉納西、恆河時判印度。,,country_row
科隆,,德國、菲律賓,,命中宿霧、薄荷島、巧克力山、長灘島、巴拉望、愛妮島時判菲律賓。 | 命中新天鵝堡、慕尼黑、柏林、羅曼蒂克大道、科隆大教堂時判德國。,德國|菲律賓,country_row
童話城堡,,德國,,命中新天鵝堡、慕尼黑、柏林、羅曼蒂克大道、科隆大教堂時判德國。,,country_row
童話小鎮,歐洲任一國,亞洲園區、奧地利、捷克、歐洲真實城市、飯店度假村,國家/城市/園區名，例如巴拿山、南怡島、布拉格、哈修塔特,僅作輔助描述，不能作為國家依據。,,curated
童話村,,日本,,命中富士山、京都、大阪、北海道、沖繩、USJ 時優先判日本。,,country_row
粉紅城市,,印度,,命中泰姬瑪哈陵、阿格拉、齋浦爾、瓦拉納西、恆河時判印度。,,country_row
羅浮宮,法國,法國、阿聯酋、阿聯酋/杜拜,巴黎羅浮宮/塞納河；羅浮宮阿布達比/Abu Dhabi,搭配城市決定。,,curated
老街,,台灣,,命中台北101、日月潭、阿里山、九份、太魯閣、墾丁、澎湖時判台灣。,台灣,country_row
聖誕村,,芬蘭,,命中羅瓦涅米、聖誕老人村、赫爾辛基、拉普蘭時判芬蘭。,,country_row
自由女神,美國,美國、拉斯維加斯仿景、日本/其他仿景,紐約/曼哈頓/時代廣場/中央公園,仿景需人工覆核。,,curated
自由女神仿景,,美國,,命中紐約、自由女神、洛杉磯、拉斯維加斯、大峽谷、金門大橋、黃石時判美國。,,country_row
航海王國,,葡萄牙,,命中里斯本、貝倫塔、羅卡角、波多、辛特拉時判葡萄牙。,,country_row
艾菲爾鐵塔,法國,其他仿景、拉斯維加斯、法國、澳門,法國：巴黎/羅浮宮/凡爾賽；澳門：巴黎人/澳門；美國：拉斯維加斯,若只出現巴黎風/法式，不判國家。,,curated
艾菲爾鐵塔仿景,,法國,,命中巴黎、羅浮宮、凡爾賽宮、香榭麗舍、聖米歇爾山時判法國。,,country_row
花園城市,,新加坡,,命中魚尾獅、濱海灣金沙、聖淘沙、USS、樟宜機場時判新加坡。,,country_row
花海,荷蘭,其他花園/園區、台灣、日本、荷蘭,阿姆斯特丹/庫肯霍夫/羊角村/贊瑟斯漢斯,需要荷蘭強信號。,其他花園/園區|台灣|日本|荷蘭,curated
英倫風,,英國、馬來西亞,,命中雙子星塔、吉隆坡、沙巴、仙本那、雲頂高原時判馬來西亞。 | 命中倫敦、大笨鐘、白金漢宮、大英博物館、愛丁堡時判英國。,,country_row
葡式,,葡萄牙,,命中里斯本、貝倫塔、羅卡角、波多、辛特拉時判葡萄牙。,葡萄牙,country_row
葡式建築,,澳門,,命中澳門、大三巴、路氹、威尼斯人、巴黎人、倫敦人、永利皇宮時判澳門。,,country_row
藍湖,,冰島,,命中雷克雅維克、藍湖、黃金圈、黑沙灘、傑古沙龍冰河湖時判冰島。,冰島,country_row
藍白小鎮,希臘,其他仿景/民宿、台灣、希臘、韓國,聖托里尼/米克諾斯/雅典/愛琴海,仿景或裝潢風格不可判希臘。,,curated
藍白村,,韓國,,命中首爾、釜山、濟州、景福宮、樂天世界、愛寶樂園時判韓國。,,country_row
藍色山城,,摩洛哥,,命中舍夫沙萬、馬拉喀什、菲斯、哈桑二世清真寺時判摩洛哥。,,country_row
藍色海岸,,印尼,,命中峇里島、烏布、海神廟、婆羅浮屠、科莫多時判印尼。,,country_row
藍色清真寺,,土耳其,,命中卡帕多奇亞、伊斯坦堡、聖索菲亞、棉堡時判土耳其。,,country_row
藍頂建築,,希臘,,命中雅典衛城、聖托里尼、米克諾斯、藍頂教堂時判希臘。,,country_row
衝沙,杜拜/埃及/摩洛哥任一,其他沙漠、埃及、摩洛哥、約旦、阿聯酋、阿聯酋/杜拜,杜拜/阿布達比；開羅/吉薩；馬拉喀什/梅爾祖卡,需看城市和景點強信號。,其他沙漠|埃及|摩洛哥|約旦|阿聯酋|阿聯酋/杜拜,curated
貢多拉,義大利,其他仿景、澳門、義大利、越南,義大利：聖馬可廣場/嘆息橋/羅馬；越南：富國島/Grand World/Charm of Venice；澳門：威尼斯人/路氹/大三巴,沒有強信號時輸出無法判斷並人工覆核。,,curated
越南威尼斯,,義大利、越南,,若同時出現富國島、Grand World、VinWonders、Vinpearl、Charm of Venice、水舞秀，優先判越南。 | 命中羅馬、佛羅倫斯、比薩斜塔、聖馬可廣場、五漁村時判義大利。,,country_row
迪士尼,美國/日本/香港/法國/中國任一,中國、日本、法國、美國、香港,東京/香港/上海/巴黎/洛杉磯/奧蘭多,必須搭配城市或園區全名。,,curated
運河,荷蘭,其他花園/園區、台灣、日本、荷蘭,阿姆斯特丹/庫肯霍夫/羊角村/贊瑟斯漢斯,需要荷蘭強信號。,其他花園/園區|台灣|日本|荷蘭,curated
酒鄉,,南非,,命中開普敦、桌山、好望角、克魯格國家公園時判南非。,南非,country_row
野生動物,,南非,,命中開普敦、桌山、好望角、克魯格國家公園時判南非。,,country_row
金字塔,埃及,仿景、埃及、墨西哥,埃及：吉薩/獅身人面像/開羅；墨西哥：馬雅/奇琴伊察/坎昆,需判斷是埃及金字塔或馬雅金字塔。,,curated
金沙,,新加坡,,命中魚尾獅、濱海灣金沙、聖淘沙、USS、樟宜機場時判新加坡。,新加坡,country_row
金門,,美國,,命中紐約、自由女神、洛杉磯、拉斯維加斯、大峽谷、金門大橋、黃石時判美國。,美國,country_row
阿拉伯風,,摩洛哥,,命中舍夫沙萬、馬拉喀什、菲斯、哈桑二世清真寺時判摩洛哥。,,country_row
阿爾卑斯風,瑞士,中國、其他園區、台灣、瑞士、韓國,瑞士：少女峰/馬特洪峰/策馬特/琉森；其他：實際地名,視為弱信號；需搭配國家地名。,,curated
陽光海岸,,西班牙,,命中聖家堂、高第、巴塞隆納、阿爾罕布拉宮時判西班牙。,,country_row
雪屋,,芬蘭,,命中羅瓦涅米、聖誕老人村、赫爾辛基、拉普蘭時判芬蘭。,芬蘭,country_row
雪山,,尼泊爾、挪威、紐西蘭,,命中皇后鎮、米佛峽灣、蒂卡波湖、哈比村、庫克山時判紐西蘭。 | 命中松恩峽灣、蓋朗厄爾峽灣、羅弗敦、卑爾根時判挪威。 | 命中加德滿都、博卡拉、奇旺、珠峰基地營時判尼泊爾。,尼泊爾|挪威|紐西蘭,country_row
雪山小鎮,,瑞士,,命中少女峰、馬特洪峰、策馬特、琉森、冰河列車時判瑞士。,,country_row
非洲動物,南非,南非、坦尚尼亞、波札那等、肯亞,克魯格/開普敦/桌山；或其他國家公園名,需搭配公園或國家名。,,curated
韓劇場景,,韓國,,命中首爾、釜山、濟州、景福宮、樂天世界、愛寶樂園時判韓國。,,country_row
音樂之都,,奧地利,,命中維也納、美泉宮、薩爾斯堡、哈修塔特時判奧地利。,,country_row
風車,荷蘭,其他花園/園區、台灣、日本、荷蘭,阿姆斯特丹/庫肯霍夫/羊角村/贊瑟斯漢斯,需要荷蘭強信號。,其他花園/園區|台灣|日本|荷蘭,curated
馬爾地夫級,馬爾地夫,印尼、泰國、菲律賓、越南、馬來西亞、馬爾地夫,實際島名：長灘島/巴拉望/PP島/峇里島/仙本那/富國島,不可直接判馬爾地夫。,,curated
馬爾地夫級海景,,菲律賓,,命中宿霧、薄荷島、巧克力山、長灘島、巴拉望、愛妮島時判菲律賓。,,country_row
高第風,,西班牙,,命中聖家堂、高第、巴塞隆納、阿爾罕布拉宮時判西班牙。,,country_row
鬱金香季,,荷蘭,,命中阿姆斯特丹、庫肯霍夫、羊角村、贊瑟斯漢斯時判荷蘭。,,country_row
魔戒,,紐西蘭,,命中皇后鎮、米佛峽灣、蒂卡波湖、哈比村、庫克山時判紐西蘭。,紐西蘭,country_row
黃金城市,,阿聯酋/杜拜,,命中哈里發塔、帆船飯店、棕櫚島、阿布達比大清真寺時判阿聯酋。,,country_row
黃金海岸泛稱,,澳洲,,命中雪梨歌劇院、大堡礁、十二門徒石、烏魯魯、塔斯馬尼亞時判澳洲。,,country_row
黑森林蛋糕,,德國,,命中新天鵝堡、慕尼黑、柏林、羅曼蒂克大道、科隆大教堂時判德國。,,country_row
黑沙灘,,冰島,,命中雷克雅維克、藍湖、黃金圈、黑沙灘、傑古沙龍冰河湖時判冰島。,,country_row
